,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
5928,6,17,5,27,57,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9698137643823788,0.969370650107771
3586,37,17,3,62,31,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9700873507706751,0.9695134336670092
7326,17,35,3,62,27,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9697495895355585,0.9691471185595368
7689,17,62,43,2,14,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9701418304422901,0.9695899039174778
6008,6,17,62,2,14,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9701271073534657,0.9696551241273523
6973,28,5,3,43,baseline,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9699199445834817,0.969308208282414
3836,37,35,31,43,baseline,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9699880441730004,0.9693445849039863
5844,6,28,2,1,57,0.9080329557157569,0.8160513337783618,4476,4341,463,430,0.9700359472487426,0.9695381048706218
7142,28,3,43,1,57,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9699442992030355,0.9693765695385689
3503,37,17,35,3,14,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9698996419955785,0.9692986072159375
6969,28,5,3,31,1,0.9080329557157569,0.8160791921615487,4488,4329,475,418,0.9701836024334931,0.9696697960400533
3234,37,28,17,62,1,0.9080329557157569,0.8160703559163471,4485,4332,472,421,0.9702407763879332,0.969882937544911
6234,6,35,baseline,57,14,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9696916730622295,0.9691376027555323
3497,37,17,35,3,31,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9699720269798269,0.9693222712667404
7708,17,27,31,43,1,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9702389943426001,0.9697294623776876
5834,6,28,43,2,14,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9700568862814078,0.9693963041041201
