,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
776,27,baseline,57,0.9066941297631308,0.8133656214146584,4461,4343,461,445,0.9689721722589513,0.9682552832219333
566,17,62,57,0.9066941297631308,0.8133655387470015,4457,4347,457,449,0.9695932787020466,0.9690819103832629
759,62,57,14,0.9066941297631308,0.813365393633332,4460,4344,460,446,0.9694489542448829,0.968859972942381
809,2,1,57,0.9066941297631308,0.8133664912343572,4463,4341,463,443,0.969594763739824,0.9690469766637976
527,28,1,57,0.9066941297631308,0.8133688316842026,4466,4338,466,440,0.969690633535785,0.9692768826359736
753,62,2,14,0.9066941297631308,0.8133738858682369,4470,4334,470,436,0.9696472704326774,0.9690237762195334
752,62,2,57,0.9066941297631308,0.8133656214146584,4461,4343,461,445,0.9693609127194928,0.968643139243951
223,37,62,2,0.9065911431513903,0.8131807864652787,4476,4327,477,430,0.969658471860486,0.96895196403516
698,3,62,43,0.9065911431513903,0.8131593290343844,4459,4344,460,447,0.9695891842407452,0.9687149743264846
518,28,43,57,0.9065911431513903,0.813159427946412,4457,4346,458,449,0.9695354895176699,0.9688401869058196
701,3,62,1,0.9065911431513903,0.8131671178081,4469,4334,470,437,0.9697526020407645,0.9692567270752575
666,5,62,57,0.9065911431513903,0.8131686561232658,4470,4333,471,436,0.9694323642514239,0.9689472828865087
749,62,43,14,0.9065911431513903,0.8131594866391333,4460,4343,461,446,0.9697902371410154,0.9691811739150394
642,35,2,1,0.9065911431513903,0.8131859350276316,4478,4325,479,428,0.9696828264800396,0.969076142589564
